Activity,smoothing_type,rep_id,Metric,Score
Macro-Average,No,1,Precision,0.813858424748361
Macro-Average,No,1,Recall,0.708569846543269
Macro-Average,No,1,F1,0.714971690835339
Macro-Average,No,1,Accuracy,0.801107752083136
Foraging,No,2,Precision,0.775401069518717
Foraging,No,2,Recall,0.363408521303258
Foraging,No,2,F1,0.494880546075085
Foraging,No,2,Accuracy,0.650821907710453
Locomotion,No,2,Precision,0.915492957746479
Locomotion,No,2,Recall,0.915492957746479
Locomotion,No,2,F1,0.915492957746479
Locomotion,No,2,Accuracy,0.95134306371849
Stationary,No,2,Precision,0.49625468164794
Stationary,No,2,Recall,0.963636363636364
Stationary,No,2,F1,0.65512978986403
Stationary,No,2,Accuracy,0.814529624604251
TreeMovement,No,2,Precision,0.513888888888889
TreeMovement,No,2,Recall,0.422053231939164
TreeMovement,No,2,F1,0.463465553235908
TreeMovement,No,2,Accuracy,0.646688380675464
Macro-Average,No,2,Precision,0.675259399450506
Macro-Average,No,2,Recall,0.666147768656316
Macro-Average,No,2,F1,0.632242211730376
Macro-Average,No,2,Accuracy,0.765845744177165
Foraging,No,3,Precision,0.461165048543689
Foraging,No,3,Recall,0.95
Foraging,No,3,F1,0.620915032679739
Foraging,No,3,Accuracy,0.842541766109785
Locomotion,No,3,Precision,0.984615384615385
Locomotion,No,3,Recall,0.64
Locomotion,No,3,F1,0.775757575757576
Locomotion,No,3,Accuracy,0.818806682577566
Stationary,No,3,Precision,0.925
Stationary,No,3,Recall,0.474358974358974
Stationary,No,3,F1,0.627118644067797
Stationary,No,3,Accuracy,0.72891502436957
TreeMovement,No,3,Precision,0.875
TreeMovement,No,3,Recall,0.901840490797546
TreeMovement,No,3,F1,0.88821752265861
TreeMovement,No,3,Accuracy,0.921425863376301
Macro-Average,No,3,Precision,0.811445108289768
Macro-Average,No,3,Recall,0.74154986628913
Macro-Average,No,3,F1,0.72800219379093
Macro-Average,No,3,Accuracy,0.827922334108305
Foraging,Transition,1,Precision,0.891304347826087
Foraging,Transition,1,Recall,0.82
Foraging,Transition,1,F1,0.854166666666667
Foraging,Transition,1,Accuracy,0.900974729241877
Locomotion,Transition,1,Precision,0.966101694915254
Locomotion,Transition,1,Recall,0.57
Locomotion,Transition,1,F1,0.716981132075472
Locomotion,Transition,1,Accuracy,0.783194945848375
Stationary,Transition,1,Precision,1
Stationary,Transition,1,Recall,0.503875968992248
Stationary,Transition,1,F1,0.670103092783505
Stationary,Transition,1,Accuracy,0.751937984496124
TreeMovement,Transition,1,Precision,0.506702412868633
TreeMovement,Transition,1,Recall,0.964285714285714
TreeMovement,Transition,1,F1,0.664323374340949
TreeMovement,Transition,1,Accuracy,0.781269494697442
Macro-Average,Transition,1,Precision,0.841027113902493
Macro-Average,Transition,1,Recall,0.714540420819491
Macro-Average,Transition,1,F1,0.726393566466648
Macro-Average,Transition,1,Accuracy,0.804344288570955
Foraging,Transition,2,Precision,0.82183908045977
Foraging,Transition,2,Recall,0.358395989974937
Foraging,Transition,2,F1,0.49912739965096
Foraging,Transition,2,Accuracy,0.65640387734041
Locomotion,Transition,2,Precision,0.921985815602837
Locomotion,Transition,2,Recall,0.915492957746479
Locomotion,Transition,2,F1,0.918727915194346
Locomotion,Transition,2,Accuracy,0.951876681648053
Stationary,Transition,2,Precision,0.495344506517691
Stationary,Transition,2,Recall,0.967272727272727
Stationary,Transition,2,F1,0.655172413793103
Stationary,Transition,2,Accuracy,0.815104025327906
TreeMovement,Transition,2,Precision,0.511013215859031
TreeMovement,Transition,2,Recall,0.44106463878327
TreeMovement,Transition,2,F1,0.473469387755102
TreeMovement,Transition,2,Accuracy,0.652517613509282
Macro-Average,Transition,2,Precision,0.687545654609832
Macro-Average,Transition,2,Recall,0.670556578444353
Macro-Average,Transition,2,F1,0.636624279098378
Macro-Average,Transition,2,Accuracy,0.768975549456413
Foraging,Transition,3,Precision,0.458937198067633
Foraging,Transition,3,Recall,0.95
Foraging,Transition,3,F1,0.618892508143322
Foraging,Transition,3,Accuracy,0.841348448687351
Locomotion,Transition,3,Precision,1
Locomotion,Transition,3,Recall,0.64
Locomotion,Transition,3,F1,0.780487804878049
Locomotion,Transition,3,Accuracy,0.82
Stationary,Transition,3,Precision,0.958333333333333
Stationary,Transition,3,Recall,0.442307692307692
Stationary,Transition,3,F1,0.605263157894737
Stationary,Transition,3,Accuracy,0.717021614748887
TreeMovement,Transition,3,Precision,0.875
TreeMovement,Transition,3,Recall,0.94478527607362
TreeMovement,Transition,3,F1,0.908554572271387
TreeMovement,Transition,3,Accuracy,0.941493761632315
Macro-Average,Transition,3,Precision,0.823067632850242
Macro-Average,Transition,3,Recall,0.744273242095328
Macro-Average,Transition,3,F1,0.728299510796874
Macro-Average,Transition,3,Accuracy,0.829965956267138
